experiment,Grid GHG intensity,Light-duty vehicles: % of LDV stock: EV,Light-duty vehicles: % of LDV stock: PHEV,Trucks: % of MDT stock: EV,Transit vehicles: % of transit bus fleet: EV,Transit vehicles: % of school bus fleet: EV,Transit vehicles: % of commuter rail electrified,Land Use,Prior drive mode share of new riders: bus,Prior drive mode share of new riders: urban rail,Operational improvements: Ridership elasticity,Operational improvements: One-way length of bus routes w/op. improvements,Operational improvements: % travel time savings,New service: New one-way route-miles: rapid bus,New service: New one-way route-miles: urban rail,New service: Average load factor: new rapid bus,New service: Average load factor: new urban rail,New service: Fuel type of new bus service,Active Transportation: Use growth factor or elasticity?,Active Transportation: New bike facility miles,Active Transportation: Bike growth factor,Active Transportation: E-bike % of bike miles,Active Transportation: Share of <2 mi trips converted to walk,Active Transportation: Prior drive mode share of new bike & walk trips:,CAV (Private),% CAV market penetration: LDV,% CAV market penetration: MDT,CAV technology: LDV,CAV technology: MDV,CAV efficiency improvement,CAV - % VMT change: LDV,CAV - % VMT change: MDT,Smart Mobility: Change in auto owership,Ridehailing: Technology,Ridehailing: Market penetration,Ridehailing: Vehicle occupancy: work,Ridehailing: Vehicle occupancy: non-work,Ridehailing: Circuity/deadhead factor,Ridehailing: Prior drive mode share,Demand Reponsive: Technology,Demand Reponsive: Market penetration,Demand Reponsive: Vehicle occupancy,Demand Reponsive: Circuity/deadhead factor,Demand Reponsive: Prior drive mode share,Demand Reponsive: % electric vehicle,Pricing,Pricing: Carbon price change,"Pricing: Fuel cost change (gasoline, diesel)",Pricing: Price change per vehicle-trip ,Pricing: Price change per VMT,Pricing: Elasticity: VMT w/r/t fuel price (LDV),TDM: Additional % workers receiving transit benefit:,TDM: Additional % workers receiving transit benefit: <50 workers,TDM: Additional % workers receiving transit benefit: 50-100 workers,TDM: Additional % workers receiving transit benefit: >100 workers,TDM: Additional % workers at workplace w/TDM program,TDM: Additional % workers at workplace w/TDM program: <50 workers,TDM: Additional % workers at workplace w/TDM program: 50-100 workers,TDM: Additional % workers at workplace w/TDM program: >100 workers,TDM: Additional % workers at workplace w/TDM program: Change in drive-alone mode share w/TDM program,Residential TDM:,Residential TDM: % of residential growth in TDM regulated units,Residential TDM: Mode shift of affected residents,GHG Change 2030: Clean Vehicles,GHG Change 2030: Land Use,GHG Change 2030: Transit,GHG Change 2030: Active Transportation,GHG Change 2030: CAV,GHG Change 2030: Smart Mobility,GHG Change 2030: Travel Pricing,GHG Change 2030: TDM,GHG Change 2030: Combined,GHG Change 2050: Clean Vehicles,GHG Change 2050: Land Use,GHG Change 2050: Transit,GHG Change 2050: Active Transportation,GHG Change 2050: CAV,GHG Change 2050: Smart Mobility,GHG Change 2050: Travel Pricing,GHG Change 2050: TDM,GHG Change 2050: Combined
1,328,53,46,20,93,53,68,False,37,57,21,342,180,99,22,9,3,diesel,growth factor,14,21,23,10,54,False,13,67,baseline,baseline,38,89,91,0,fleet average,24,30,22,20,98,fleet average,3,86,18,95,38,False,99,22,4,17,16,False,38,4,50,False,21,19,14,4,True,2,83,-535115.6561939451,0.0,7764.3068354432635,-7413.025490803792,0.0,-105222.84910638213,0.0,0.0,815757.9552415522,-3019.615743549424,0.0,-5501.924943516895,-53602.354616983066,0.0,-133541.72970689222,0.0,0.0,1002029.6324931039
2,396,10,35,65,66,63,60,False,26,34,26,150,105,127,97,14,0,gasoline,growth factor,57,76,43,50,30,True,84,91,baseline,baseline,20,24,45,0,fleet average,12,15,18,19,77,fleet average,14,109,11,57,34,True,81,98,6,6,4,True,5,6,22,False,23,19,9,28,True,53,94,-196811.6157765931,0.0,33384.718429337074,-24122.05106569092,0.0,-171545.57516958506,0.0,0.0,1094070.6072615413,-3022.8768847719766,0.0,-2975.2229743274074,-36684.320243295304,0.0,-135121.97923391624,0.0,0.0,1017575.2326441738
3,362,85,96,63,79,3,62,True,79,42,20,66,99,115,30,28,20,CNG,growth factor,163,55,0,4,98,True,70,82,baseline,baseline,7,68,83,17,fleet average,21,23,26,15,19,fleet average,16,54,19,77,84,True,82,156,7,4,0,False,5,43,2,True,22,38,35,23,False,84,1,-928235.5606423235,0.0,-6191.280291987606,-55518.058373527,0.0,7889404.274193535,0.0,0.0,8061696.522028898,-3023.963931846083,0.0,-5588.996588238201,-84618.75096874393,0.0,-141435.13202629428,0.0,0.0,967323.7405158702
4,25,55,23,40,18,54,37,True,37,57,33,474,78,148,0,32,57,diesel,growth factor,144,74,54,3,54,False,72,99,EV,EV,44,55,77,9,EV,22,13,27,19,41,fleet average,9,116,20,41,40,True,62,396,7,1,44,False,34,3,47,False,1,9,44,57,False,4,56,-766754.4550664637,0.0,-1727.3635322493792,-43189.64026343249,0.0,-66456.04030126949,0.0,0.0,603521.8245572845,-3012.0064140300965,0.0,-5501.924943516895,-53602.354616983066,0.0,-135114.8473390992,0.0,0.0,1000541.5078293299
5,223,64,44,63,13,64,35,True,88,36,22,486,71,51,80,38,33,gasoline,elasticity,16,56,55,47,90,False,22,33,baseline,EV,46,98,33,3,EV,15,24,12,16,63,EV,5,34,20,98,14,True,12,302,6,16,41,False,45,27,0,False,17,13,18,65,False,84,41,-712272.8923961015,0.0,-17443.396099014222,-51581.55055998876,0.0,25501.07473670806,0.0,0.0,733011.2498714459,-3012.8216993357055,0.0,-5348.630919461673,-78979.40617751468,0.0,-139849.71188523644,0.0,0.0,973936.8037508819
6,125,43,7,76,67,96,93,True,80,76,76,442,57,18,39,20,22,CNG,elasticity,13,72,90,27,15,False,66,77,baseline,baseline,28,61,38,14,fleet average,11,27,15,16,0,EV,8,127,10,26,19,True,30,304,6,2,29,False,43,16,32,False,7,37,23,78,True,29,26,-527810.4662346622,0.0,-13934.080694849072,-11151.13747743761,0.0,-83367.40274484482,0.0,0.0,830251.121864601,-3016.082840558258,0.0,-8785.697555738863,-26110.548759740454,0.0,-139851.85140137473,0.0,0.0,1017289.7482364567
7,82,23,84,91,88,88,15,False,24,90,139,367,192,16,91,36,34,gasoline,elasticity,113,16,53,48,15,False,60,66,baseline,EV,10,13,80,16,EV,9,30,27,15,86,fleet average,23,130,10,97,100,False,48,206,0,1,30,True,33,24,1,True,35,44,11,91,False,85,9,-816133.411118272,0.0,-62817.2190134376,-1108.488138720489,0.0,-613492.6402172943,0.0,0.0,25142.058378142614,-3015.8110787897604,0.0,-8111.7044452845075,-26110.548759740454,0.0,-141429.78299818988,0.0,0.0,1016337.3131757934
8,89,39,77,11,76,42,6,True,23,62,20,270,1,25,1,24,45,CNG,growth factor,133,72,5,57,0,True,13,17,EV,EV,21,2,96,10,fleet average,5,10,18,13,51,EV,0,142,17,99,47,True,51,163,7,11,1,True,33,16,32,True,5,16,43,93,False,99,52,-854529.0706572849,0.0,205.79001216978955,20.110707095665603,0.0,-38290.44547128696,0.0,0.0,563189.6801769616,-3023.6921700775856,0.0,-5472.901061943125,-15536.77727618561,0.0,-144591.17350362346,0.0,0.0,1024739.9557001569
9,133,86,11,88,33,78,21,False,53,75,146,165,116,34,96,19,38,CNG,elasticity,179,13,52,49,86,True,5,41,EV,EV,44,90,37,11,fleet average,1,22,29,14,37,EV,23,80,16,6,86,False,91,120,8,4,38,False,19,40,50,False,3,8,15,42,False,27,2,-893259.222238365,0.0,-56595.16081524894,-3219.915159726945,0.0,29725.021725006998,0.0,0.0,568100.904904404,-3013.636984641431,0.0,-7740.118878897398,-76159.73378190008,0.0,-143006.46654293375,0.0,0.0,971500.6876800358
10,214,40,10,5,93,80,27,True,64,10,110,90,45,73,86,39,32,diesel,growth factor,20,17,13,31,37,False,75,62,baseline,baseline,9,57,25,6,EV,25,12,18,20,20,fleet average,9,128,20,45,29,True,42,35,2,9,25,False,30,38,36,False,3,28,10,91,True,67,79,-371080.4206718451,0.0,370.6556027314578,-3237.983372126152,0.0,157065.783139424,0.0,0.0,1239460.6414468512,-3017.169887632481,0.0,-2084.3229470841306,-41618.746935620904,0.0,-133540.12501807674,0.0,0.0,1015513.5976115064
