expmntID,Land Use - CBD Focus,Freeway Capacity,Auto IVTT Sensitivity,Shared Mobility,Kensington Decommissioning,LRT Extension,Region-wide VMT,Interstate + Expressway + Ramp/Connector VMT,Major and Minor Arterials VMT,Total Auto VMT,Total Truck VMT,Daily Auto VMT - Interstate,Daily Truck VMT - Interstate,Daily Total VMT - Interstate,Daily Auto VMT - Expressway,Daily Truck VMT - Expressway,Daily Total VMT - Expressway,Daily Auto VMT - Major Arterial,Daily Truck VMT - Major Arterial,Daily Total VMT - Major Arterial,Daily Auto VMT - Minor Arterial,Daily Truck VMT - Minor Arterial,Daily Total VMT - Minor Arterial,Daily Auto VMT - Collector,Daily Truck VMT - Collector,Daily Total VMT - Collector,Daily Auto VMT - Freeway On-Ramp,Daily Truck VMT - Freeway On-Ramp,Daily Total VMT - Freeway On-Ramp,Daily Auto VMT - Freeway Off-Ramp,Daily Truck VMT - Freeway Off-Ramp,Daily Total VMT - Freeway Off-Ramp,Daily Auto VMT - Freeway to Freeway Connector,Daily Truck VMT - Freeway to Freeway Connector,Daily Total VMT - Freeway to Freeway Connector,Daily Auto VMT - Toll Booth,Daily Truck VMT - Toll Booth,Daily Total VMT - Toll Booth,Daily Auto VMT - Border Control,Daily Truck VMT - Border Control,Daily Total VMT - Border Control,Daily Auto VMT - Canadian Interstate,Daily Truck VMT - Canadian Interstate,Daily Total VMT - Canadian Interstate,Daily Auto VMT - Canadian Expressway,Daily Truck VMT - Canadian Expressway,Daily Total VMT - Canadian Expressway,Daily Auto VMT - Canadian Major Arterial,Daily Truck VMT - Canadian Major Arterial,Daily Total VMT - Canadian Major Arterial,AM Trip Time (minutes),AM Trip Length (miles),PM Trip Time (minutes),PM Trip Length (miles),Total Transit Boardings,Total LRT Boardings,Peak Transit Share,Peak NonMotorized Share,Off-Peak Transit Share,Off-Peak NonMotorized Share,Daily Transit Share,Daily NonMotorized Share,Downtown to Airport Travel Time,Households within 30 min of CBD,Number of Home-based work tours taking <= 45 minutes via transit,Corridor Kensington Daily VMT,Corridor Kensington Daily VHT,Corridor Kensington_OB PM VMT,Corridor Kensington_OB PM VHT,Corridor Kensington_IB AM VMT,Corridor Kensington_IB AM VHT,Corridor 190 Daily VMT,Corridor 190 Daily VHT,Corridor 190_OB Daily VMT,Corridor 190_OB Daily VHT,Corridor 190_IB Daily VMT,Corridor 190_IB Daily VHT,Corridor 33_west Daily VMT,Corridor 33_west Daily VHT,Corridor I90_south Daily VMT,Corridor I90_south Daily VHT,OD Volume District 1 to 1,OD Volume District 1 to 2,OD Volume District 1 to 3,OD Volume District 1 to 4,OD Volume District 1 to 5,OD Volume District 1 to 6,OD Volume District 1 to 7,OD Volume District 1 to 8,OD Volume District 1 to 9,OD Volume District 1 to 10
1,0.9995388981687227,1.639593548766387,0.8016925990096437,0.47002251989564375,0.0,1.0,24355788.833195996,9277751.346935999,9779778.552416,21831030.514123,2524758.319072,5511496.15686,750479.016624,6261975.173484,2068158.616619,106223.787068,2174382.403686,4485158.849946,280402.280231,4765561.130177,4660246.226586,353971.195653,5014217.422239,1832182.676723,120379.814137,1952562.490861,254886.024397,16959.237135,271845.261531,257649.611986,18544.670511,276194.282497,270394.491367,22959.734371,293354.225738,6305.135663,1735.331439,8040.467102,403889.638647,403349.690237,807239.328885,4115.616599,22109.023758,26224.640358,155720.166573,117208.492028,272928.658601,1920827.302157,310436.04588,2231263.348037,14.616355,7.717559,15.355201,8.461572,97166.890669,28046.052854,0.018491,0.067609,0.015089,0.064372,0.016649,0.065857,13.95121,393180.0,334934.968,191989.231597,213728.059699,25004.910625,28084.94985,22395.071566,26633.937495,268054.924724,270050.83987,35391.919825,39728.134163,28826.337539,29636.136903,44631.490946,52690.847051,144199.05061,143932.692627,59600.832031,22058.90625,21520.373047,6553.426758,2908.605713,16086.587891,1403.730225,2657.869873,5271.045898,1422.253662
2,1.0734971823297035,1.6123468160053869,0.886791042455083,0.6249413637288531,0.0,0.0,25961103.089546002,9933515.941075,10422576.351523,23266044.278698,2695058.8108460004,5896777.834915,793741.21313,6690519.048045,2215991.110961,112732.458575,2328723.569536,4771045.226581,301225.154726,5072270.381307,4970496.067012,379809.903204,5350305.970216,1938078.289786,128947.190065,2067025.479852,277300.657824,18455.442558,295756.100382,281039.265999,20180.889143,301220.155142,292571.529696,24725.538274,317297.06797,6567.485266,1798.954812,8366.440078,419183.468285,430961.640597,850145.108883,4311.95549,23885.789046,28197.744536,160235.225244,126029.708247,286264.933491,2032446.161639,332564.928469,2365011.090108,14.71294,7.583588,15.352489,8.283321,89693.085097,22753.934521,0.015956,0.064964,0.012865,0.061131,0.014281,0.062886,14.192117,422200.0,346505.0,218444.109058,248217.347586,28250.455532,32559.350123,25767.920897,32048.774368,299807.829435,310947.60967,39511.451397,47223.650759,32529.564701,34789.692026,48427.806098,59042.775762,155658.798499,158282.642327,71306.265625,25853.689453,25405.210938,7398.211914,3246.374023,18493.880859,1529.762329,2898.253662,5747.681152,1554.235596
3,0.9561633726781472,1.841358621059336,0.8075856441690418,0.1711919209021332,1.0,1.0,23346657.170608,8813417.096889999,9426674.320062,20891533.245903995,2455123.924702,5398834.596971,736853.928724,6135688.525694,1788613.362599,97432.161875,1886045.524475,4338284.176959,274835.997474,4613120.174433,4468747.706864,344806.438766,4813554.145629,1755722.525666,117132.077607,1872854.603273,235490.434492,16130.641312,251621.075804,237264.620472,17739.499961,255004.120434,262632.159394,22425.691088,285057.850483,6165.527221,1706.646052,7872.173273,393730.929809,390795.566284,784526.496093,4131.788613,21302.161486,25433.950099,153768.578325,113175.87406,266944.452386,1848146.838519,300787.240013,2148934.078532,14.53884,7.797316,15.354399,8.58028,100553.922956,27538.933438,0.019829,0.070397,0.016192,0.067631,0.017863,0.068901,13.725364,376369.0,321031.531,57957.150155,94345.269248,6646.941382,12340.867487,5880.265188,9635.535888,264016.544443,260280.160868,34934.84243,37477.273907,28839.900455,28970.531624,39327.108957,43802.900352,145691.270004,143008.081681,53447.859375,19791.6875,19184.689453,6018.204102,2682.767578,14639.206055,1302.112549,2482.875732,4922.974609,1324.150513
4,1.0329738289456016,1.457687732979052,0.8851393676999718,0.5871377708304757,1.0,0.0,25115050.956749998,9397094.119863,10262830.572838001,22496444.318816997,2618606.637936,5750791.966799,774841.065208,6525633.032007,1913909.878271,102349.011729,2016258.889999,4732326.007642,297147.87507,5029473.882712,4862227.739587,371128.95054,5233356.690126,1881761.630651,125483.373095,2007245.003746,254677.217639,17343.782106,272020.999745,257548.132402,19056.865445,276604.997847,282575.786901,24000.413364,306576.200265,6457.348167,1763.01514,8220.363306,413268.916507,418201.767344,831470.683851,4369.592505,23060.441002,27430.033507,157872.827086,121822.952845,279695.779931,1978657.27466,322407.125048,2301064.399708,14.748041,7.607562,15.422307,8.330018,86252.954812,21736.590687,0.015871,0.064851,0.012814,0.061203,0.014214,0.062874,14.366745,402853.0,332934.781,65881.31947,107940.056677,7614.442994,14113.392405,6540.561652,11420.034069,298177.94326,317494.241193,38594.322849,48504.105476,32684.167135,36517.552099,42949.485365,51892.160403,157431.328318,164620.791314,66331.648438,24080.673828,23589.21875,6951.42627,3054.399414,17339.943359,1444.389526,2758.496826,5462.157227,1472.427124
5,1.0922291948887266,1.4324708698977036,0.839650066672773,0.38371529109263675,1.0,0.0,25881907.810976,9723267.218317002,10555271.160616,23154521.86764,2727385.9433359997,5949774.08099,801938.126575,6751712.207565,1980482.517025,105439.868762,2085922.385787,4868255.458719,310277.356227,5178532.814946,4989479.026101,387259.319569,5376738.34567,1927341.941066,130338.783238,2057680.724304,262990.501763,18217.596892,281208.098656,266081.695676,20018.129259,286099.824935,293223.556098,25101.145276,318324.701374,6639.283795,1806.620352,8445.904146,423467.968572,437444.256244,860912.224815,4604.469154,24293.773174,28898.242328,161222.952217,127955.236835,289178.189052,2020958.416464,337295.730933,2358254.147398,15.013844,7.643746,15.64221,8.364901,119800.687656,27552.900549,0.020547,0.072895,0.016915,0.069462,0.018582,0.071038,14.491434,424703.0,352927.156,67540.359247,111848.1448,7892.061719,14856.964966,6683.561272,11794.581777,309481.161143,335961.494334,39991.828255,52404.758939,33844.186771,38901.742507,44196.003288,54408.555896,163079.736471,173219.908467,67162.84375,24516.933594,24265.869141,7355.155762,3263.333496,18146.066406,1553.50415,2914.27832,5819.197754,1551.868896
6,1.1631408865915391,1.5520275202421923,0.9582060086465309,0.555912664452918,0.0,0.0,27250552.028865,10456059.422423001,10934242.974783,24385751.374401007,2864800.654466,6205250.909259,835469.652498,7040720.561757,2327867.00577,118597.79769,2446464.80346,5005457.103879,321172.899364,5326630.003242,5202515.994348,405096.977193,5607612.971541,2014865.170348,136630.065684,2151495.236032,293177.295709,19904.258544,313081.554253,297609.309004,21760.161991,319369.470995,309946.310708,26476.72125,336423.031958,6837.796452,1860.420838,8698.217289,435571.665943,460997.158591,896568.824534,4664.126363,25797.471738,30461.598101,164815.255994,135452.735973,300267.991967,2117173.430624,355584.333112,2472757.763736,14.957066,7.541476,15.517103,8.221004,119305.210337,28659.081982,0.019372,0.070921,0.015889,0.067034,0.017485,0.068815,14.452246,456063.0,375521.218,234040.515095,271137.471111,30208.672263,35713.19474,27903.216139,36345.256878,322338.233073,345314.546058,42087.618259,53821.894191,35151.852981,39442.32336,50936.213939,64460.007097,164322.030815,170810.664886,77257.03125,27889.560547,27683.001953,8040.206543,3551.043701,20246.572266,1642.004639,3101.427734,6178.162109,1652.948364
7,0.9699746148595525,1.7057278064842532,0.826729710353573,0.6068789530811137,1.0,0.0,24126146.251731,9084330.807110999,9795754.130548999,21646214.336907994,2479931.914821,5569505.250777,743230.999332,6312736.250109,1849678.933145,98178.182075,1947857.11522,4514771.016202,278057.448689,4792828.464892,4654905.172688,348020.49297,5002925.665657,1817041.700907,118377.866821,1935419.567727,245744.903079,16297.728621,262042.631701,247753.245534,17918.102666,265671.348201,273344.102392,22679.359488,296023.46188,6217.209853,1716.876837,7934.08669,397901.222322,395174.421084,793075.643406,4098.928202,21577.214374,25676.142576,154145.841413,114551.860066,268697.701479,1911106.810394,304151.361798,2215258.172193,14.530475,7.681232,15.276314,8.420854,71743.70992,18377.946891,0.014109,0.061754,0.011277,0.058235,0.012574,0.059847,13.930867,380010.0,312635.718,62616.996878,99023.723314,7307.023797,12977.054483,6186.134219,10192.026734,281418.583091,284143.037385,37130.155075,41878.202377,30821.370897,31950.358825,41411.35383,47300.141477,151685.38551,151756.203298,60447.964844,22191.722656,21572.429688,6441.858398,2816.09375,15878.939453,1350.762329,2588.510254,5102.104492,1390.604492
8,1.078975796575172,1.0820068329890975,0.846428590062624,0.3373059256051602,0.0,0.0,25430428.871581003,9372187.518118,10478635.767269,22732721.374227,2697707.497351,5538258.753847,781278.515337,6319537.269185,2096056.294877,111131.862883,2207188.15776,4815306.47794,307302.667901,5122609.145842,4970693.370863,385333.250564,5356026.621427,1928322.444473,129806.904194,2058129.348667,255514.329282,17944.673521,273459.002803,259918.484896,19595.11519,279513.600086,268281.408129,24208.080155,292489.488284,6676.272323,1780.008777,8456.2811,427453.485912,434718.277803,862171.763714,4437.294048,24075.537587,28512.831636,160511.347531,126628.747851,287140.095382,2001291.410106,333903.855588,2335195.265695,15.197375,7.594077,15.815995,8.331794,119064.538837,26976.684263,0.020623,0.073192,0.016984,0.069815,0.018654,0.071365,15.090666,400821.0,348125.437,203249.750313,248412.695262,26324.096545,33758.367619,23025.244409,32715.419501,277652.509219,322329.482107,34644.144505,51550.623001,29316.586844,36209.370286,43114.551475,60781.219211,143839.132425,161642.677566,65483.894531,23977.392578,23685.060547,7195.307129,3178.876221,17681.992188,1512.816284,2851.909668,5677.821777,1523.365967
9,1.1845935489706747,1.3824708110422002,0.8141709930073152,0.8088348816464568,0.0,1.0,28300394.006255,10770592.551324999,11477046.303051,25395734.139581002,2904659.866675,6395613.62332,843534.229907,7239147.853227,2412135.880799,119236.721397,2531372.602195,5261262.648356,327624.976226,5588887.624583,5476422.143023,411736.535445,5888158.678468,2108123.385572,138777.874708,2246901.260279,303476.032071,20063.589419,323539.62149,308692.916318,21955.787877,330648.704195,319146.732067,26737.038151,345883.770218,6905.491952,1875.923877,8781.415829,440891.255342,467952.321268,908843.57661,4634.654602,26268.460674,30903.115276,166226.484515,137727.738063,303954.222578,2192202.891644,361168.669663,2553371.561307,15.27522,7.475366,15.749294,8.126948,102055.18779,33887.465287,0.017034,0.064389,0.013609,0.060051,0.015176,0.062035,14.969528,448078.0,393339.875,248570.062921,300202.949938,31796.029265,39727.075729,28903.826902,40850.777944,340766.802914,389874.11567,43336.779292,63141.550069,36748.844407,44888.7787,52047.292372,70838.517011,169955.028292,185262.559994,86572.515625,30907.035156,30533.6875,8544.862305,3756.910156,21900.689453,1750.825928,3287.683594,6524.285156,1751.227783
10,0.9483861802172988,1.216812657724714,0.9355682593324638,0.9362723402619297,0.0,1.0,23625140.63698,8738621.000043,9678471.451058999,21188139.572972998,2437001.0640049996,5171022.949121,721969.432009,5892992.38113,1956495.606973,102365.406983,2058861.013956,4442291.276122,273370.023863,4715661.299985,4619187.018752,343623.132322,4962810.151074,1808356.087747,117005.812264,1925361.900012,239101.410293,15955.04127,255056.451563,242537.436658,17463.616966,260001.053624,249916.347873,21793.751897,271710.09977,6247.613348,1684.047488,7931.660836,402111.852154,389360.80717,791472.659324,4163.876199,21180.676647,25344.552846,153757.645572,112403.209373,266160.854946,1892950.452161,298826.105753,2191776.557914,14.521759,7.564081,15.27,8.309248,61484.058437,20523.033278,0.012808,0.057669,0.009995,0.053952,0.011282,0.055653,14.411334,366366.0,317883.906,187074.90688,216999.403066,24040.874244,28580.688885,20946.850971,26702.65195,253408.709438,270295.884194,32385.943955,40667.998433,26805.743673,29479.179093,41045.941184,52432.342276,134570.878482,141497.233343,61267.699219,22242.578125,21451.302734,6193.520996,2704.785645,15584.504883,1270.351563,2495.786621,4873.131836,1335.548584
